"WALTITUD","LONG_DECI","LAT_DECI","titulo"
2363,-74.657898,-12.099039,"PAPA BLANCA"
2223,-78.931277,-6.239233,"PAPA BLANCA"
2343,-75.508608,-10.393873,"PAPA BLANCA"
2134,-79.45173,-5.194321,"PAPA BLANCA"
2487,-78.440017,-7.824046,"PAPA BLANCA"
2308,-78.688604,-6.252053,"PAPA BLANCA"
2455,-73.333512,-15.261938,"PAPA BLANCA"
2455,-73.333512,-15.261938,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2338,-78.879828,-6.316928,"PAPA BLANCA"
2435,-77.754697,-9.130047,"PAPA BLANCA"
2012,-78.272321,-6.812638,"PAPA BLANCA"
2419,-71.499856,-16.439349,"PAPA BLANCA"
2435,-77.754697,-9.130047,"PAPA BLANCA"
2485,-70.866947,-16.538711,"PAPA BLANCA"
2110,-79.300016,-6.295723,"PAPA BLANCA"
2491,-78.584317,-6.40115,"PAPA BLANCA"
2044,-78.894073,-6.411857,"PAPA BLANCA"
2096,-78.723973,-6.155138,"PAPA BLANCA"
2338,-78.879828,-6.316928,"PAPA BLANCA"
2230,-74.654578,-12.033972,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2317,-78.873304,-7.025128,"PAPA BLANCA"
2287,-79.924453,-4.927974,"PAPA BLANCA"
2351,-77.947341,-6.920313,"PAPA BLANCA"
2467,-78.581056,-6.393631,"PAPA BLANCA"
2147,-78.998128,-6.466998,"PAPA BLANCA"
2333,-79.534215,-5.645987,"PAPA BLANCA"
2314,-78.873035,-6.645687,"PAPA BLANCA"
2283,-72.7742,-13.099657,"PAPA BLANCA"
2283,-78.876934,-6.506726,"PAPA BLANCA"
2084,-79.427087,-5.251467,"PAPA BLANCA"
2173,-78.836015,-7.020997,"PAPA BLANCA"
2167,-78.426573,-6.506322,"PAPA BLANCA"
2143,-78.79479,-6.612964,"PAPA BLANCA"
2256,-78.950008,-6.434303,"PAPA BLANCA"
2242,-77.929179,-6.188224,"PAPA BLANCA"
